x,y,z
-6.88344,7.25384,5
-6.91246,7.22631,5.00058
-6.94166,7.19874,5.00284
-6.97146,7.17099,5.00816
-7.00248,7.14272,5.01758
-7.03525,7.11354,5.0312
-7.07031,7.083,5.04888
-7.10818,7.05067,5.07039
-7.14928,7.01607,5.09536
-7.19401,6.97876,5.12334
-7.24269,6.93825,5.15384
-7.296,6.89369,5.18691
-7.35451,6.84415,5.22246
-7.41813,6.78924,5.25962
-7.48656,6.72869,5.29746
-7.5593,6.66244,5.33504
-7.63578,6.59052,5.37151
-7.71543,6.51302,5.40615
-7.79768,6.43003,5.43834
-7.882,6.34156,5.46761
-7.96794,6.24749,5.49357
-8.05499,6.14767,5.5159
-8.14262,6.04202,5.5343
-8.23026,5.9305,5.54857
-8.31732,5.81316,5.55855
-8.40318,5.69009,5.56417
-8.48725,5.56145,5.56547
-8.56898,5.42744,5.56254
-8.64782,5.28831,5.5556
-8.72333,5.14435,5.54495
-8.79514,4.99588,5.53098
-8.86298,4.8432,5.51414
-8.92672,4.68663,5.49495
-8.98635,4.52645,5.47397
-9.04198,4.3629,5.45174
-9.09387,4.19614,5.42879
-9.14241,4.02629,5.40562
-9.18807,3.85335,5.3826
-9.23139,3.67724,5.36001
-9.27294,3.4978,5.338
-9.31329,3.31477,5.31654
-9.35295,3.12784,5.29548
-9.39228,2.93665,5.27452
-9.43157,2.74083,5.25322
-9.47086,2.54003,5.23109
-9.51006,2.33399,5.20758
-9.54888,2.12249,5.18221
-9.58688,1.90544,5.15455
-9.62352,1.68286,5.12433
-9.65822,1.45489,5.09144
-9.69043,1.22179,5.05597
-9.7197,0.983875,5.01817
-9.74576,0.741497,4.97847
-9.76854,0.494974,4.93739
-9.78822,0.244552,4.89547
-9.80507,-0.00975562,4.85328
-9.81948,-0.268213,4.81145
-9.83191,-0.531205,4.77041
-9.84291,-0.79913,4.73038
-9.85294,-1.07232,4.69133
-9.86241,-1.351,4.65306
-9.87163,-1.63534,4.61533
-9.88085,-1.92499,4.57755
-9.89024,-2.2199,4.53931
-9.89986,-2.52071,4.50062
-9.90975,-2.82795,4.46138
-9.91989,-3.14198,4.42134
-9.93021,-3.46313,4.38012
-9.94057,-3.79187,4.33729
-9.9506,-4.12865,4.29225
-9.95963,-4.47352,4.24426
-9.96662,-4.82636,4.19269
-9.9702,-5.18685,4.13725
-9.96884,-5.55426,4.07819
-9.96127,-5.92749,4.01649
8.91031,-4.53943,5
8.92847,-4.50378,5.00055
8.94665,-4.46812,5.00239
8.96493,-4.43236,5.00577
8.98338,-4.39641,5.0108
9.00212,-4.36017,5.01748
