n_updates,fps,policy_loss,approxkl,value_loss,policy_entropy,true_reward,total_timesteps,ep_len_mean,clipfrac,serial_timesteps,time_elapsed,ep_reward_mean,explained_variance
1,159215,0.0020145553,0.012173537,9.394805,5.6780105,-0.21372877,25000,29.83,0.14545599,250,0.0005702972412109375,-3.185341093597058,-0.2011646032333374
2,224406,-0.002186241,0.0053565716,6.7713675,5.6809435,-0.18801844,50000,30.51,0.067364,500,0.4706861972808838,-3.3791337827126697,0.21958786249160767
3,234528,-0.0039537726,0.0050660335,3.0371559,5.6817822,-0.110982426,75000,26.0,0.06452,750,0.8046813011169434,-0.9372494690255371,0.4463539719581604
4,239963,-0.004379751,0.006218736,1.9475702,5.6828423,-0.07388102,100000,29.34,0.079624005,1000,1.1385784149169922,-0.7064888495628111,0.5180022716522217
5,241474,-0.004794917,0.0046590394,0.6215087,5.685114,-0.02853747,125000,26.1,0.05326,1250,1.465597152709961,-0.035663766512207075,0.5815438330173492
6,251340,-0.004688536,0.005256565,0.32584113,5.6847086,-0.01173389,150000,32.33,0.063659996,1500,1.7931222915649414,0.6567569116909908,0.3631591796875
7,231066,-0.0033877953,0.0034371926,0.20376365,5.682173,-0.00050604943,175000,25.29,0.035168,1750,2.1177401542663574,0.7066041009201944,0.45178526639938354
8,229482,-0.0029060044,0.003982085,0.17073154,5.674548,-0.00048252742,200000,26.28,0.041468,2000,2.445629835128784,0.7705057475060312,0.4971703290939331
9,233349,-0.0021647145,0.003378891,0.15020947,5.6679983,-0.0014908724,225000,23.73,0.0299,2250,2.780911445617676,0.8487471615924733,0.6082716882228851
10,231924,-0.0012151847,0.0032224539,0.17434041,5.659194,-0.0029563524,250000,26.86,0.029176,2500,3.1073453426361084,0.7097595322189773,0.6484852433204651
11,235201,-0.0016772586,0.005249301,0.1405069,5.6545115,0.002013682,275000,26.2,0.06286801,2750,3.4529080390930176,0.6658562169622019,0.712193489074707
12,214803,-0.0016861458,0.003600904,0.13647692,5.6522236,-0.0016932016,300000,24.92,0.035568,3000,3.7872445583343506,0.6117323867049709,0.7402559220790863
13,237639,-0.0029953565,0.0042533358,0.14553398,5.6494284,0.00069886557,325000,31.12,0.044204,3250,4.136063098907471,0.864807315832968,0.7530481964349747
14,231640,-0.0020750028,0.0034953647,0.12214969,5.64613,0.00176509,350000,26.38,0.035124,3500,4.4746856689453125,0.7587399462523899,0.8032650500535965
15,235861,-0.0022715726,0.002732544,0.12369307,5.641574,-0.0020169083,375000,27.67,0.020828,3750,4.812609910964966,0.805597777843941,0.8211009800434113
16,237555,-0.0022330668,0.0035368316,0.1129717,5.6379786,0.0028637326,400000,26.22,0.033608,4000,5.153724670410156,0.7932199490691709,0.8375434130430222
17,230260,-0.0017384408,0.00431477,0.102883875,5.629974,0.0017425701,425000,29.24,0.047840003,4250,5.490172624588013,0.8723605125767971,0.8600890636444092
18,239995,-0.0020863968,0.0035744372,0.11824699,5.6226864,-0.00276542,450000,27.81,0.032612003,4500,5.833897113800049,0.6749283664095855,0.8527723848819733
19,241438,-0.0030569478,0.0035086093,0.096026234,5.6183853,0.0012552863,475000,29.63,0.032972,4750,6.169416189193726,0.9548319084379182,0.875913679599762
20,240084,-0.0023840824,0.005464672,0.09203471,5.6121235,-0.00011367256,500000,25.18,0.066556,5000,6.497340440750122,0.8834266581262636,0.8924074396491051
21,238653,-0.003227399,0.0051378654,0.08121582,5.6022515,0.0048954366,525000,25.69,0.061380006,5250,6.827037572860718,0.7688823789118214,0.9011212214827538
22,245019,-0.0030893213,0.0043279435,0.074632786,5.5928726,0.0041875597,550000,26.29,0.045644,5500,7.1674909591674805,0.856035416404411,0.9114124551415443
23,233060,-0.0035909668,0.004491587,0.061319936,5.584901,0.005746388,575000,26.86,0.049988,5750,7.501371383666992,0.8290869084178303,0.9232210144400597
24,238739,-0.0029429067,0.0038181108,0.053220022,5.575015,0.008994115,600000,29.19,0.037764,6000,7.84381103515625,0.8982379844007664,0.9255661368370056
25,247334,-0.0030593525,0.004054573,0.04898324,5.5654807,0.0073708496,625000,28.11,0.0431,6250,8.174879312515259,0.7689994699816589,0.9339947625994682
26,249795,-0.0024538955,0.0040008402,0.044475123,5.5595503,0.010369431,650000,28.31,0.03894,6500,8.507936477661133,1.0323129680635612,0.9341254606842995
27,251378,-0.002871784,0.0035792708,0.043875203,5.5532484,0.010663258,675000,27.38,0.033524,6750,8.83781099319458,0.9496834601287628,0.9410231672227383
