approxkl,clipfrac,explained_variance,ep_len_mean,policy_entropy,fps,true_reward,ep_reward_mean,serial_timesteps,n_updates,time_elapsed,policy_loss,total_timesteps,value_loss
0.006255937,0.06361599,-5.272192001342773,29.31,5.678432,149690,-0.13477159,-1.5317938055975537,250,1,0.00048470497131347656,0.0019390874,25000,11.042435
0.010352848,0.11140001,-4.740138530731201,24.48,5.6857896,234859,-0.13084026,-1.486552868566214,500,2,0.5131320953369141,0.007737373,50000,10.012576
0.004002928,0.044759996,-2.6391990184783936,26.05,5.692896,233940,-0.14378634,-1.1282685714013314,750,3,0.8477578163146973,0.0007258397,75000,8.7574835
0.0023851548,0.022276001,-1.031555414199829,26.72,5.699725,252784,-0.14229453,-1.9735265455157651,1000,4,1.1809589862823486,-0.00096178416,100000,6.5715613
0.00403194,0.044312,-0.22241151332855225,25.84,5.707316,235489,-0.1389939,-1.4477462373295384,1250,5,1.4985604286193848,-0.00063470594,125000,4.8015895
0.0037170697,0.041203998,0.05878573656082153,28.91,5.7136564,218922,-0.1083488,-1.5318041924766659,1500,6,1.8307979106903076,-0.0010250387,150000,2.7109227
0.0027930595,0.027320001,0.13929015398025513,29.16,5.7176514,230015,-0.111133,-1.3575421300555173,1750,7,2.165215253829956,-0.0006755713,175000,2.5735526
0.0028198087,0.028535997,0.233831524848938,28.64,5.7185006,229141,-0.10335038,-1.0363082756105724,2000,8,2.4983978271484375,-0.002224672,200000,2.3115492
0.0034260289,0.035008002,0.2033417820930481,25.71,5.7200036,246933,-0.07864481,-0.4787412540174955,2250,9,2.8268306255340576,-0.00073762017,225000,1.4999783
0.0025895787,0.024044,0.2407401204109192,27.33,5.7197065,219848,-0.07225817,-0.5724960772468876,2500,10,3.1580302715301514,-0.001810718,250000,1.3376452
0.0047665033,0.049652,0.2669641971588135,26.41,5.7169337,211696,-0.056806087,-0.3514345314072125,2750,11,3.5145387649536133,0.00021594754,275000,0.9202983
0.0029665516,0.027732,0.2760258913040161,26.87,5.7138605,218892,-0.056004632,-0.577231321543295,3000,12,3.852980136871338,-0.0023226198,300000,0.8928711
0.0040092007,0.040576,0.3611915111541748,28.17,5.7096314,220832,-0.04026544,0.08569975733002139,3250,13,4.208845376968384,-0.002413948,325000,0.59972787
0.00450465,0.048956,0.4213768243789673,28.38,5.7055054,225635,-0.0359057,-0.1848874281684482,3500,14,4.55259895324707,-0.002744446,350000,0.49658227
0.0043722996,0.047624,0.5214108824729919,29.13,5.701869,237313,-0.025761388,0.4322179285104685,3750,15,4.896232604980469,-0.004323731,375000,0.32964486
0.0037625737,0.040143996,0.6252398788928986,26.39,5.6968703,221980,-0.022386719,0.3062103921357584,4000,16,5.23817253112793,-0.0043614823,400000,0.28074768
