value_loss,approxkl,fps,serial_timesteps,total_timesteps,explained_variance,clipfrac,policy_entropy,n_updates,true_reward,ep_len_mean,policy_loss,time_elapsed,ep_reward_mean
26.371506,0.06156782,47034,250,25000,0.04100847244262695,0.30155998,5.676631,1,0.0470302,28.37,0.031862322,0.040288448333740234,7.2172075355052945
26.033916,0.031559028,56122,500,50000,0.12473726272583008,0.22131598,5.6796103,2,0.050193265,26.0,0.020637095,1.1620306968688965,7.026485947668553
24.610188,0.008983174,73396,750,75000,0.09391385316848755,0.105895996,5.6827765,3,0.041517418,23.81,0.002606801,2.031585931777954,6.500937724262476
23.940443,0.015081239,58045,1000,100000,0.20967376232147217,0.144492,5.685893,4,0.048287373,35.07,0.010340303,2.863426923751831,8.028854446411133
21.332912,0.008756135,36198,1250,125000,0.35089224576950073,0.09100799,5.6906857,5,0.04429143,24.86,0.0058439793,3.862792491912842,6.73519538551569
18.403748,0.008493623,40258,1500,150000,0.4066087007522583,0.100784004,5.69563,6,0.047467157,34.71,0.0024034823,5.065228462219238,7.222457513809204
16.044594,0.011016151,40260,1750,175000,0.5218954086303711,0.12348,5.7001467,7,0.045745727,35.0,0.0054094065,6.284242153167725,8.322029916197062
16.81901,0.0575098,61887,2000,200000,0.5109621584415436,0.30462402,5.7022767,8,0.049508136,32.08,0.03093085,7.302992820739746,7.634762296974659
13.150571,0.05787929,77929,2250,225000,0.6182178258895874,0.30132002,5.7064915,9,0.048438564,33.29,0.029460499,8.18210244178772,8.212034747898578
14.110041,0.039467357,62766,2500,250000,0.6051280200481415,0.2333,5.710769,10,0.047839966,31.32,0.014296179,8.891381025314331,7.641619258522987
11.691492,0.019005634,59941,2750,275000,0.6717451214790344,0.177012,5.7136927,11,0.043486632,30.58,0.010835746,9.687476873397827,7.096425333023071
11.8269825,0.0070170574,68736,3000,300000,0.7017496526241302,0.082516,5.7157817,12,0.046534702,27.5,0.0018529368,10.478471040725708,7.36298593878746
10.287493,0.0035362008,69818,3250,325000,0.7308132648468018,0.037616,5.718539,13,0.050568003,29.53,-0.0004330954,11.298712491989136,7.937110898196697
9.551729,0.0043261303,77187,3500,350000,0.7522618919610977,0.04926,5.722949,14,0.049904063,30.76,-0.0005328293,12.090294599533081,7.590201037526131
