value_loss,serial_timesteps,time_elapsed,total_timesteps,ep_len_mean,clipfrac,n_updates,fps,approxkl,true_reward,explained_variance,policy_entropy,policy_loss,ep_reward_mean
1.5615652,250,1.4249522686004639,25000,14.6,0.28294402,1,5699,0.057709523,0.04503831,-3.901034355163574,5.67645,0.032578442,0.8463667514547706
0.5827106,500,6.1914122104644775,50000,14.98,0.201008,2,6008,0.019561388,0.044767946,-0.9565742015838623,5.6805487,0.011515243,0.8485941185522825
0.39419264,750,10.647880792617798,75000,15.48,0.110352,3,5926,0.009434687,0.045370933,-0.17301619052886963,5.6887617,0.002141735,0.9163003307580948
0.18343239,1000,15.172385931015015,100000,16.77,0.102816,4,5964,0.008033263,0.044986777,0.6322081089019775,5.6960096,0.0010790762,0.9523888793122023
0.15689981,1250,19.64213728904724,125000,15.39,0.068024,5,6081,0.0054789977,0.044743247,0.7728136479854584,5.70538,-0.0028429353,0.8935434637963772
0.117962375,1500,24.03396725654602,150000,13.96,0.090156004,6,5775,0.0071779764,0.044840995,0.8551263362169266,5.7134657,-0.0034169503,0.8019368651602418
0.055879872,1750,28.649927139282227,175000,13.5,0.10177599,7,5690,0.008015411,0.04504239,0.8801645487546921,5.7184033,-0.0028071569,0.7579538398981094
0.033912513,2000,33.3263213634491,200000,14.48,0.285036,8,5451,0.030950543,0.045014843,0.8695615381002426,5.7214203,0.010096267,0.7982534850202501
0.025673177,2250,38.20131158828735,225000,14.95,0.15354401,9,4919,0.012695272,0.044845052,0.8423619121313095,5.7266054,-0.00016646719,0.8044156511314213
0.018016476,2500,43.5661416053772,250000,15.11,0.21714398,10,5016,0.019851182,0.045216117,0.8599494695663452,5.733759,0.0022317283,0.8182281141821295
0.016920136,2750,48.82964563369751,275000,17.03,0.082688,11,5173,0.006494718,0.046009164,0.905562199652195,5.7403874,-0.0054916935,0.9165110546816141
0.020873705,3000,53.94017004966736,300000,18.11,0.14832401,12,5306,0.016956415,0.045602128,0.8943223506212234,5.740453,-0.0035731487,1.0048014804348349
0.028618176,3250,58.92620062828064,325000,18.32,0.101144,13,5068,0.0081134,0.046570558,0.8850336968898773,5.7351446,-0.005780324,0.9907321352232248
0.031222139,3500,64.1309564113617,350000,19.68,0.169716,14,4973,0.014405583,0.048545778,0.8781018331646919,5.7285795,-0.0022087838,1.1015503930300474
0.022737052,3750,69.43509912490845,375000,23.02,0.161616,15,5379,0.0126655325,0.0496813,0.8946090787649155,5.7238855,-0.0020223204,1.293912478564307
0.019675389,4000,74.36614727973938,400000,23.92,0.124044,16,5309,0.009598387,0.05100974,0.9179345890879631,5.7165213,-0.004708487,1.422681610332802
0.0149185285,4250,79.34889054298401,425000,23.01,0.13506,17,4974,0.012254238,0.05290175,0.9342422857880592,5.702264,-0.004121012,1.3863011591136456
0.019759595,4500,84.65016055107117,450000,23.12,0.24166,18,5215,0.02988537,0.053704996,0.9396649487316608,5.6829805,0.0026323057,1.426111367493868
0.017877912,4750,89.72422289848328,475000,24.35,0.16937599,19,4952,0.013481738,0.05524263,0.9385085515677929,5.6723175,-0.0039098784,1.5084808026440442
0.02029769,5000,95.07437539100647,500000,24.46,0.15997201,20,4986,0.013040704,0.056876935,0.944237295538187,5.661974,-0.0028151635,1.5462763066682965
0.026267236,5250,100.36303067207336,525000,27.22,0.115784004,21,4900,0.009215945,0.05898803,0.9274454340338707,5.649992,-0.005128398,1.7498698114790023
0.038024634,5500,105.74373745918274,550000,22.83,0.205724,22,4872,0.022311281,0.05898361,0.9337872713804245,5.6357355,0.0004400209,1.468633780805394
0.03388474,5750,111.14203882217407,575000,27.49,0.21494798,23,5007,0.023402892,0.06047291,0.9279789179563522,5.6237183,0.001997389,1.7822025525569916
0.027407264,6000,116.41138434410095,600000,29.17,0.130044,24,5147,0.0105033545,0.06187882,0.9282857850193977,5.615429,-0.004460322,1.9584341792669147
0.02812408,6250,121.55876779556274,625000,29.38,0.158856,25,5083,0.014338596,0.061794557,0.9229666888713837,5.608026,0.0010381807,1.8731398034375162
0.034640886,6500,126.73755621910095,650000,29.88,0.160072,26,5192,0.013227126,0.061781496,0.9346854463219643,5.600168,-0.0051002884,1.9947993011213838
0.038887613,6750,131.82833242416382,675000,28.84,0.109628,27,5065,0.008714659,0.06257866,0.9196948185563087,5.594267,-0.004680653,1.8426522252522408
0.04095938,7000,137.03500604629517,700000,26.73,0.168644,28,5113,0.019549336,0.06304974,0.9072488993406296,5.5914927,0.0054431283,1.7721756914071738
0.045618728,7250,142.19398188591003,725000,29.34,0.18626401,29,5260,0.018734658,0.06451884,0.9296523854136467,5.588081,9.199609e-05,1.9541907937079668
0.038907394,7500,147.20568108558655,750000,27.81,0.198936,30,5241,0.02182365,0.06441281,0.9256299957633018,5.5828223,0.0023609945,1.8117869284562766
0.040645428,7750,152.2317020893097,775000,26.74,0.278304,31,5335,0.062476367,0.06524447,0.9280948340892792,5.581128,0.011865313,1.8240981873311102
0.04157,8000,157.18862223625183,800000,30.94,0.270948,32,5356,0.070480004,0.06518908,0.9213733151555061,5.582517,0.014657548,2.022135191243142
0.039296977,8250,162.12469267845154,825000,31.07,0.137144,33,5231,0.013037719,0.06967957,0.933730348944664,5.581206,-0.0025652326,2.141151772458106
0.040939134,8500,167.17359590530396,850000,29.75,0.112207994,34,5150,0.010510876,0.069289185,0.9275452420115471,5.5738025,-0.0018138181,2.050338969780132
0.039092764,8750,172.30702590942383,875000,30.53,0.20603201,35,5211,0.032402426,0.070466004,0.9396498985588551,5.5691156,0.0076062977,2.160276429420337
0.03533668,9000,177.37261819839478,900000,31.22,0.253116,36,5196,0.040159125,0.072121754,0.9468481503427029,5.564715,0.008004751,2.204389850012958
0.0353541,9250,182.48036336898804,925000,32.53,0.23916002,37,5280,0.029093822,0.07300726,0.9484624490141869,5.560113,0.0043845773,2.3956998719181866
0.03635167,9500,187.4813621044159,950000,33.0,0.25743598,38,5463,0.035176374,0.07379813,0.9511148370802402,5.557851,0.0054454533,2.496562794856727
0.042744823,9750,192.3206856250763,975000,35.99,0.3128,39,5450,0.067622595,0.07448667,0.950566828250885,5.5595374,0.015707301,2.681466101417318
0.039284095,10000,197.17272877693176,1000000,39.27,0.192936,40,5645,0.021597069,0.07506255,0.9487662836909294,5.5595365,0.0010466604,2.9689668192807583
0.040590297,10250,201.88146495819092,1025000,34.85,0.185404,41,5625,0.022634339,0.07431514,0.9456356205046177,5.556754,0.002413461,2.5778720638062804
0.043499257,10500,206.5877058506012,1050000,35.31,0.162372,42,5341,0.019496923,0.07592315,0.9452513232827187,5.5524073,0.0020480573,2.611016912870109
0.045482658,10750,211.54116010665894,1075000,40.02,0.148592,43,5689,0.016456097,0.07638448,0.9394867047667503,5.547972,0.0006361599,3.1107464162819087
0.048614305,11000,216.20435762405396,1100000,35.66,0.121996,44,5540,0.0112149045,0.07710921,0.9365758001804352,5.5440764,-0.0020411536,2.6811989436298607
0.057545207,11250,220.98711705207825,1125000,40.19,0.12684,45,5944,0.011205188,0.07824182,0.9392072260379791,5.5356383,-0.003514133,3.1048073505889624
0.058220882,11500,225.4645869731903,1150000,34.68,0.13184,46,5561,0.011579764,0.08117455,0.9457084685564041,5.5229864,-0.004269712,2.6874790223222225
0.06783386,11750,230.21864414215088,1175000,39.62,0.14135201,47,5687,0.01279892,0.08109577,0.9396959207952023,5.5115366,-0.0029773477,3.1517645070701836
0.06266131,12000,234.87414026260376,1200000,37.76,0.14097598,48,5854,0.012177737,0.08363224,0.942626379430294,5.508311,-0.0014464811,3.018583714636043
0.06003381,12250,239.39654874801636,1225000,37.67,0.114424005,49,5567,0.010324515,0.0829411,0.9329173415899277,5.499848,-0.004436576,2.914994447696954
0.067413315,12500,244.1498544216156,1250000,36.63,0.12904,50,5633,0.011580815,0.08551916,0.9357494935393333,5.487272,-0.0036899536,3.041490934435278
0.07486012,12750,248.85338950157166,1275000,35.82,0.124032,51,5350,0.010447601,0.08780564,0.9326095059514046,5.478412,-0.004157212,2.9777427915949373
0.06918983,13000,253.79617428779602,1300000,39.79,0.110759996,52,5381,0.008919838,0.08716094,0.9392394684255123,5.467265,-0.0049949526,3.419669154472649
