ep_reward_mean,gamma,filepath
-11.588208713375789,,/home/szylzz/Desktop/flightmare/flightrl/examples/saved/2024-11-21-20-03-50/checkpoints/2024-11-21-20-03-51_Iteration_5
-17.444347778717873,,/home/szylzz/Desktop/flightmare/flightrl/examples/saved/2024-11-21-20-03-50/checkpoints/2024-11-21-20-03-51_Iteration_10
-17.899741551048646,,/home/szylzz/Desktop/flightmare/flightrl/examples/saved/2024-11-21-20-15-17/checkpoints/2024-11-21-20-15-17_Iteration_15
-13.992625453794608,0.99,/home/szylzz/Desktop/flightmare/flightrl/examples/saved/2024-11-21-21-48-46/checkpoints/2024-11-21-21-48-47_Iteration_15
-19.344266659280983,0.99,/home/szylzz/Desktop/flightmare/flightrl/examples/saved/2024-11-21-21-50-32/checkpoints/2024-11-21-21-50-33_Iteration_5
-11.30080051823199,0.99,/home/szylzz/Desktop/flightmare/flightrl/examples/saved/2024-11-21-21-56-25/checkpoints/2024-11-21-21-56-25_Iteration_5
-13.760591911603989,0.99,/home/szylzz/Desktop/flightmare/flightrl/examples/saved/2024-11-21-21-57-13/checkpoints/2024-11-21-21-57-14_Iteration_5
-14.346390655327122,0.99,/home/szylzz/Desktop/flightmare/flightrl/examples/saved/2024-11-21-21-58-49/checkpoints/2024-11-21-21-58-50_Iteration_5
-19.5220833185449,0.99,/home/szylzz/Desktop/flightmare/flightrl/examples/saved/2024-11-21-22-00-32_Iteration_15.zip
-14.576327628549189,0.99,/home/szylzz/Desktop/flightmare/flightrl/examples/saved/2024-11-21-22-01-06/checkpoints/2024-11-21-22-01-07_Iteration_10
