ep_reward_mean,policy_loss,value_loss,true_reward,approxkl,explained_variance,total_timesteps,serial_timesteps,ep_len_mean,fps,policy_entropy,n_updates,time_elapsed,clipfrac
-20.83959743935993,0.067427926,1431.0094,-2.9626586,0.23054573,0.3053358793258667,25000,250,17.98,117388,5.6774035,1,0.0005066394805908203,0.38700002
-22.406334713251198,0.011807457,1304.627,-2.9470336,0.019034889,0.4579288363456726,50000,500,17.98,210298,5.6827497,2,0.5826132297515869,0.196348
-24.581809313567884,0.0030578286,1237.4968,-2.9356112,0.0073887543,0.5478824973106384,75000,750,21.66,216229,5.6901836,3,0.9658501148223877,0.078324
-12.677388610358685,0.017597262,1169.6923,-2.9525359,0.02551319,0.6086871325969696,100000,1000,16.53,221094,5.698182,4,1.3393645286560059,0.22544
-15.66259045412764,0.021584932,1096.1948,-2.8945947,0.03706441,0.6327877044677734,125000,1250,15.91,196095,5.7054195,5,1.7111461162567139,0.24773201
-22.218207867318416,0.014638543,1053.7014,-2.8556697,0.02154759,0.643587052822113,150000,1500,20.8,222599,5.7116823,6,2.1007673740386963,0.18918401
-34.34147055781912,0.017964806,980.20575,-2.789751,0.025927216,0.6716359853744507,175000,1750,23.25,226908,5.7166815,7,2.4653830528259277,0.192584
-35.58728841463715,0.026694637,1000.69763,-2.7960823,0.038841445,0.6691048443317413,200000,2000,25.02,222737,5.721301,8,2.829106092453003,0.253196
-26.34080446526554,0.022275142,1094.8297,-2.9475722,0.030454597,0.664293110370636,225000,2250,20.91,177100,5.7268205,9,3.211371421813965,0.22289999
-27.07058900996606,0.06269891,1080.6775,-2.9440148,0.11900882,0.6711118519306183,250000,2500,20.43,207289,5.7315283,10,3.6383705139160156,0.378448
-29.23062801048676,0.042077657,1006.5076,-2.8559687,0.06685575,0.6831226646900177,275000,2750,23.03,212403,5.735594,11,4.025912284851074,0.317324
-32.830217270223656,0.08843858,954.67206,-2.8032174,0.21271583,0.6901742815971375,300000,3000,24.28,218244,5.7385025,12,4.423703193664551,0.432652
-30.16436403751053,0.05906275,835.92706,-2.6653972,0.105431065,0.7090810239315033,325000,3250,23.3,220302,5.7416687,13,4.795744180679321,0.37885198
-29.931376020128663,0.061228484,868.59045,-2.6900122,0.13118139,0.6971680521965027,350000,3500,23.84,196615,5.745821,14,5.179075241088867,0.363476
-34.423319337971336,0.024405433,1023.6185,-2.888727,0.03236302,0.6809579730033875,375000,3750,23.96,200503,5.749674,15,5.565052032470703,0.228092
-34.56996701776777,0.004241309,1019.0996,-2.888997,0.0066139745,0.6764334142208099,400000,4000,24.35,231938,5.752593,16,5.95197868347168,0.083728
-25.902290853406594,0.0038541197,1126.475,-3.021737,0.0060594515,0.6671832203865051,425000,4250,20.02,212714,5.7544513,17,6.328440427780151,0.070539996
-30.01117488159238,0.0017279539,1199.4796,-3.0956593,0.004250994,0.6562272310256958,450000,4500,20.15,222324,5.7556176,18,6.705206632614136,0.051628
-18.354609479889767,0.0123584205,1247.8,-3.189027,0.016140226,0.6487583518028259,475000,4750,17.68,228671,5.7561064,19,7.090543985366821,0.139588
-46.06034051776187,0.006190127,1086.329,-2.965145,0.009475228,0.6678861379623413,500000,5000,27.55,215479,5.756664,20,7.468500852584839,0.096723996
-31.676758323388057,0.009686811,939.9335,-2.8028016,0.01337534,0.6780511140823364,525000,5250,25.11,199596,5.757019,21,7.848989248275757,0.124068
-44.41315298300964,0.008296469,943.2223,-2.7752237,0.012234469,0.6771893501281738,550000,5500,28.87,208879,5.7576265,22,8.24332571029663,0.108403996
