t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,10.0,0,5.0,1,0,0,0,-0.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9.999980000006666,0,5.01999998666667,1,0,0,0,-0.0039999973333338665,0,1.9999960000013333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,9.999920000106666,0,5.039999893333419,1,0,0,0,-0.007999978666683734,0,1.9999840000213334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,9.99982000054,0,5.059999640000648,1,0,0,0,-0.0119999280001296,0,1.999964000108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,9.999680001706663,0,5.0799991466693974,1,0,0,0,-0.015999829333879466,0,1.9999360003413327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9.999500004166652,0,5.0999983333416665,1,0,0,0,-0.01999966666833333,0,1.9999000008333305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.060000000000000005,9.999280008639959,0,5.119997120020736,1,0,0,0,-0.023999424004147188,0,1.9998560017279916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07,9.999020016006563,0,5.139995426711485,1,0,0,0,-0.027999085342297027,0,1.9998040032013125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,9.998720027306433,0,5.159993173420714,1,0,0,0,-0.03199863468414283,0,1.9997440054612867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,9.998380043739527,0,5.179990280157463,1,0,0,0,-0.03599805603149255,0,1.9996760087479055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09999999999999999,9.998000066665778,0,5.199986666933331,1,0,0,0,-0.03999733338666615,0,1.9996000133331555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10999999999999999,9.997580097605091,0,5.219982253762797,1,0,0,0,-0.04399645075255954,0,1.9995160195210184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
